Service,ItemID
ActivityProjectAreasUSFS,dfebf84b45f849cf8f335381ba85284f
AerialFireRetardantAvoidanceAreasAquatic,2f3c39365e4c46198646f5f33dc6b896
AerialFireRetardantAvoidanceAreasTerrestrial,0441adc1612c4b688b72a5ce4c4b84da
Aviation,bab704700a3741c3b8d23cf8b67811a2
Communications,4bf1b90d97d64ae2819e355459a617fc
CriticalHabitatFWSandNOAA,44258c379c414484971f389bfca5a9f0
FireHistory,a2494e4352484be3aebe15dae810cdc6
ForestServiceBoundaries,b4a087ce3a9c4500a978462eea012cad
ForestsToFaucestsUSFS,60ae2714c36a434b886dafc3b5b5d1bf
FSVegUSFS,5d78970089d54ae2900574cc40ca4de9
GeopoliticalBoundaries,0e304b658c304845bce5d971b4a36589
GNISReference,e5aae143c0304682aaaad14a54e67730
HydrographyNHDAreas,20d5ea4248a04208b4dcf8446698c162
HydrographyNHDFlowline,bb0d5b1ba6504924b7867da168016d1f
HydrographyNHDLine,45cc0796c98246278e46820160c52ae9
HydrographyNHDPoint,ec4bad0996f84ec18474e2a1e39aefe2
HydrographyNHDWaterbody,f562be79a44b4d88a2996f6e2a990ebb
Infrastructure,7151ce2047b647d4994ee31a691a073f
InfrastructureSites,6c5bdf27c3ce4f3c99ddb9f465501123
LandDesginationOwnership,13c13eb3e1f34b53960e0aae0c9930d9
OtherAgencyBoundaries,2a080c9efb8942f4ac1271310bb907e4
PastHazardousFuelsTreatmentsUSFS,0cf6839995f34aafb01a5459d7f6205d
PastTimberHarvestActivityUSFS,5ccb79b1efeb4e7eafa846e6a96e3988
PastTimberHarvestYearUSFS,c4edc2aabcf24957ae7a2ca787c8c018
PLSSBLM,f0dcf1f39a2f477293088b00c2be8ec0
RangeManagementUSFS,26196f12d97e4c39ba29f65692c246dd
Recreation,520f6542490448b09c8baf1559e25d14
RoadlessAreasUSFS,11216bd154c94cd48bd4063b4bfe07a0
SpecialInterestManagementAreaUSFS,61b363ae243944109c94a1b28177fe63
TransportationBywaysRailroads,ceb7c95dc4764d99ab969cbba2aa2da0
TransportationHIFLD,7f238efd1b2b4ef1be5cbdd3dc639554
TransportationRunways,4d8fa46181aa470d809776c57a8ab1f6
TransportationScenicTrails,9cfacfe070c14c75a002f96cb9085db4
TransportationUSFSRoads,2502d85025fb46f396a6d393ea4b20a1
TransportationUSFSTrailsInternal,cd55280f449641d68fd2c16352f873d8
TransportationUSGSTrails,a65fa60f9a9d4b539805fcc65c12d81a
USAStructures,0ec8512ad21e4bb987d7e848d14e7e24
